priority,class,lifecycle,asset,amount,ref,hold,opened_on,days_open,detail
1,reversed_after_application,persisting,EUR/2,-9000,S10,,2026-10-03,4,INV-S10
1,orphan_application,persisting,EUR/2,-2000,S08,,2026-10-04,3,INV-S08
1,orphan_application,persisting,EUR/2,-1500,S11,,2026-10-02,5,INV-S11
2,over_applied,persisting,EUR/2,-4000,S14,,2026-10-04,3,INV-S14
2,under_applied,persisting,EUR/2,3000,S20,,2026-10-05,2,INV-S20
2,over_applied,persisting,EUR/2,-1000,S06B,,2026-10-02,5,INV-S06B
2,over_applied,persisting,EUR/2,-1000,S06,,2026-10-02,5,INV-S06
3,unapplied_payment,persisting,USD/2,5000,U02,,2026-10-03,4,
4,stuck,new,EUR/2,6000,,main:hold:invoice:INV-S18,2026-10-07,0,6 days old
4,stuck,new,USD/2,5000,,main:hold:invoice:INV-U02,2026-10-07,0,6 days old
4,wrong_sign,persisting,EUR/2,-4000,,main:hold:invoice:INV-S14,2026-10-04,3,3 days old
4,stuck,new,EUR/2,2200,,fpay:stripe:payment:hold:pending:S13,2026-10-07,0,4 days old
4,stuck,persisting,EUR/2,2000,,fpay:stripe:payment:hold:pending:S08,2026-10-05,2,6 days old
